date,day,aircraft,helicopter,tank,APC,field artillery,MRL,drone,naval ship,submarines,anti-aircraft warfare,special equipment,vehicles and fuel tanks,cruise missiles
2022-10-13,231,0,0,0,-25,32,0,20,1,0,0,0,0,0
2023-05-27,458,3,2,-5,7,8,2,49,0,0,0,0,11,31
2023-10-03,587,-1,0,5,0,0,0,-1,0,0,0,0,0,0
2024-03-13,749,0,0,0,0,0,0,-1,0,0,0,0,0,-1
2024-05-05,802,0,0,0,5,43,1,0,0,0,0,-3,44,19
2024-05-25,822,0,0,0,0,0,0,9,0,0,0,0,0,0
2024-05-29,826,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-06-22,850,0,0,0,0,0,0,30,0,0,0,0,0,0
2024-06-23,850,0,0,0,0,0,0,0,0,0,0,0,0,6
2024-07-15,873,0,0,0,0,0,0,-1,0,0,0,0,0,-1
2024-08-05,894,2,0,0,0,0,0,-5,0,0,-1,0,20,2
2024-09-04,924,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-09-10,930,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-09-22,942,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-09-27,947,0,0,0,0,0,0,0,0,0,0,0,0,9
